median_ndvi,weighted_mean_ndvi,sd_ndvi,median_psri,weighted_mean_psri,sd_psri,median_rdvi,weighted_mean_rdvi,sd_rdvi,median_gndvi,weighted_mean_gndvi,sd_gndvi,median_wdrvi,weighted_mean_wdrvi,sd_wdrvi,median_msavi2,weighted_mean_msavi2,sd_msavi2,median_vdvi,weighted_mean_vdvi,sd_vdvi,median_rvi,weighted_mean_rvi,sd_rvi,median_evi,weighted_mean_evi,sd_evi,median_stvi,weighted_mean_stvi,sd_stvi,BA
0.834517539,0.835090751,0.00324202,-0.037819255,-0.037980438,0.003733978,54.66186523,54.57282138,1.115516794,0.773567259,0.773302417,0.004562533,0.378336489,0.379998129,0.0091283,-14356,-14269.84978,551.1463448,0.291770577,0.288988383,0.014205366,0.090204895,0.089867583,0.001928443,1.968138576,1.96866928,0.021333734,0.921549141,0.921585764,0.003346081,49.03142996
0.790153325,0.789922248,0.004678409,-0.02949208,-0.028762827,0.002545204,49.1934967,48.93217904,1.268795515,0.745647967,0.744999146,0.003035894,0.260943711,0.260426482,0.011657621,-12320,-12129.52858,577.0514939,0.246144354,0.247534633,0.010729643,0.117222726,0.117372527,0.002914847,1.739225745,1.74810677,0.02634973,0.881600916,0.883084091,0.004711226,17.20912096
0.845585048,0.845668025,0.002690611,-0.027750731,-0.028074101,0.002038515,57.06777954,57.04471174,0.420174601,0.799322605,0.799058258,0.002207904,0.410103023,0.410373814,0.007842863,-15404,-15392.6226,204.6803036,0.275720179,0.275692998,0.006830412,0.083667219,0.083620529,0.001580616,1.938691854,1.945373031,0.027840518,0.91796118,0.918976542,0.004296547,17.86354961
0.799429893,0.797944283,0.007273717,-0.025139665,-0.023522182,0.007071166,50.05977631,50.02664493,1.64812514,0.758882642,0.760703232,0.005369473,0.284261137,0.280656629,0.018434611,-12576,-12552.14709,715.5911309,0.23713927,0.230981687,0.027625861,0.111463137,0.112397844,0.004501993,1.783526182,1.784111349,0.02912771,0.88964349,0.889787966,0.005374951,51.44270704
0.812639415,0.814080146,0.003829822,-0.028052805,-0.02864293,0.002298938,51.58779526,51.58956409,0.509778822,0.769670963,0.768141941,0.00323562,0.318550557,0.32242485,0.010217752,-13068,-13077.86795,206.8613706,0.258542866,0.261297078,0.007264588,0.10336341,0.102491809,0.002323958,1.819168568,1.821802122,0.022847082,0.89721626,0.897301195,0.003915189,24.03747731
0.808736086,0.805943581,0.00828193,-0.029629629,-0.029844833,0.002407403,50.71767426,50.67998777,1.246985711,0.763339937,0.758567756,0.009377262,0.308281928,0.301260792,0.021502976,-12764,-12750.46886,520.7072114,0.254408062,0.25422495,0.009392971,0.105744496,0.107477506,0.00507854,1.819282651,1.819863881,0.033805752,0.896313369,0.896290695,0.006009504,64.91284405
0.824308038,0.824060649,0.00297355,-0.020938246,-0.020141257,0.003305822,52.99735641,52.80037551,0.429480422,0.791428566,0.791158924,0.003264169,0.349955469,0.349318782,0.008158615,-13620,-13532.91109,183.9256371,0.238691717,0.233153394,0.018323253,0.096306071,0.096458068,0.00178558,1.863111377,1.859607222,0.016811019,0.904369354,0.904151263,0.002651,30.25999497
0.766936183,0.766863744,0.008346916,-0.032347251,-0.031035036,0.006492908,47.59302902,47.42248565,2.344094119,0.719558954,0.719686404,0.003217191,0.205172092,0.205211697,0.019411029,-11800,-11749.21425,1045.735008,0.24693878,0.241855278,0.017845648,0.131902814,0.131972975,0.005348576,1.690350652,1.684564956,0.046405644,0.871234477,0.869989312,0.0089849,38.78191411
0.851449251,0.85132269,0.002340889,-0.021943573,-0.02155466,0.002308631,56.91454315,57.01023903,0.424922876,0.815670192,0.81510744,0.002482157,0.427374303,0.427022551,0.006954255,-15268,-15271.53184,192.9743334,0.26142323,0.259243205,0.01236098,0.080234833,0.08031037,0.001365988,1.939725757,1.939328515,0.012524223,0.918584943,0.918543961,0.002004739,7.084745219
0.859982729,0.859547028,0.00256933,-0.026010877,-0.025835503,0.00161049,58.50411224,58.33941224,0.782241291,0.817645848,0.815930967,0.003500153,0.45307225,0.451774666,0.007848657,-15920,-15840.97457,387.3482499,0.273397207,0.273222048,0.009511608,0.075278811,0.075532781,0.001484887,2.006658554,2.006332435,0.01562961,0.929044485,0.92897229,0.002320885,51.57266425
0.840236664,0.840207709,0.002334677,-0.029084299,-0.029286933,0.002019574,58.01996994,57.98102798,0.286646562,0.790573776,0.791927156,0.003723629,0.394618839,0.394559433,0.006676466,-16024,-16004.8368,136.3059304,0.280701756,0.281195058,0.009007205,0.086816721,0.086835595,0.001380922,1.9069767,1.909803668,0.016769135,0.912766933,0.913207915,0.002692493,29.76289029
