median_ndvi,weighted_mean_ndvi,sd_ndvi,median_psri,weighted_mean_psri,sd_psri,median_rdvi,weighted_mean_rdvi,sd_rdvi,median_gndvi,weighted_mean_gndvi,sd_gndvi,median_wdrvi,weighted_mean_wdrvi,sd_wdrvi,median_msavi2,weighted_mean_msavi2,sd_msavi2,median_vdvi,weighted_mean_vdvi,sd_vdvi,median_rvi,weighted_mean_rvi,sd_rvi,median_evi,weighted_mean_evi,sd_evi,median_stvi,weighted_mean_stvi,sd_stvi,BA
0.83637172,0.836354557,0.004002444,-0.034739673,-0.034850093,0.002597998,54.88053322,54.76033416,0.999109481,0.779793173,0.779417385,0.004282986,0.383584529,0.383608185,0.011368,-14436,-14345.61954,491.827021,0.279778332,0.279178318,0.011280053,0.089104135,0.089119761,0.002373321,1.968574822,1.971132395,0.028108244,0.921718925,0.92202715,0.004311768,35.29557669
0.790454715,0.789712401,0.006881396,-0.026959453,-0.026710842,0.003789085,49.2368679,49.25128281,1.652439783,0.747687548,0.747926067,0.005948353,0.261691675,0.260028944,0.016993531,-12292,-12295.88463,742.8748176,0.244585231,0.242167342,0.014281618,0.117034674,0.117515911,0.004303144,1.743452668,1.742350949,0.034510812,0.882335186,0.882046153,0.006384266,28.32232799
0.836531937,0.836836714,0.006937425,-0.025012383,-0.02495056,0.003188465,55.87150955,55.52449214,1.586887838,0.795998991,0.795673613,0.004210431,0.384039462,0.385108852,0.019677457,-14892,-14743.31336,736.6815851,0.259211391,0.258425326,0.014168815,0.089009099,0.08884378,0.004115922,1.911361456,1.909473234,0.038078966,0.913299024,0.912834939,0.006318297,27.57561226
0.786886156,0.787231519,0.012103828,-0.021183457,-0.0212777,0.005771824,48.80580521,48.66735392,2.017760226,0.753838181,0.753844644,0.008469413,0.252875835,0.254233911,0.029852887,-12126,-12045.08119,841.5162636,0.221887611,0.223717433,0.021997239,0.119265478,0.119100732,0.007574833,1.72955209,1.733301259,0.048450841,0.879573375,0.880219181,0.009276454,26.9894005
0.816015393,0.815724257,0.005578781,-0.023671803,-0.024045241,0.004600682,51.16201591,51.23819015,1.114019356,0.777665854,0.776955862,0.008182441,0.32752651,0.326870776,0.014900368,-12842,-12877.34703,496.1370551,0.246789336,0.247417739,0.016731512,0.10131225,0.101499262,0.003384096,1.819318295,1.819241642,0.029398578,0.897269815,0.897000361,0.005131769,35.1143068
0.805483609,0.805295016,0.006694006,-0.026693174,-0.026593698,0.004092241,50.51631165,50.77257568,1.304865738,0.763537556,0.762992611,0.008530091,0.299813494,0.299491155,0.01729904,-12674,-12809.75466,587.4329611,0.245258071,0.244963587,0.01434388,0.107736457,0.107867376,0.004112258,1.806944907,1.808472746,0.029786329,0.89424175,0.894398905,0.005282762,39.80813839
0.824628383,0.824284235,0.006164697,-0.021114214,-0.021349303,0.002957569,52.08183861,52.16531131,0.719360941,0.789033473,0.789429532,0.004686812,0.350832924,0.350043324,0.016793679,-13166,-13206.54637,300.1812982,0.23792243,0.238177327,0.012392775,0.0961136,0.096332913,0.00371219,1.862733245,1.860763978,0.035064946,0.904722661,0.904302259,0.005995183,40.33206808
0.776647151,0.776060715,0.015680916,-0.030849673,-0.03047627,0.006290654,48.56002808,48.41788052,2.710645812,0.726207912,0.729293285,0.016734516,0.228064001,0.227446326,0.03703699,-12232,-12120.55141,1321.101901,0.245450079,0.241890942,0.018597953,0.125715926,0.126173438,0.009992983,1.727761745,1.72325491,0.051993312,0.878604949,0.877513189,0.010222997,42.36273388
0.849187911,0.849119551,0.003766554,-0.021399178,-0.021453494,0.002244567,56.5128746,56.33153172,1.098780222,0.813233018,0.813155889,0.00375649,0.420677364,0.420536909,0.01109566,-15040,-14952.54701,536.2155092,0.258762121,0.259401473,0.011890131,0.081555836,0.081600122,0.002204522,1.924798608,1.925152503,0.024915771,0.916299582,0.91622166,0.003976419,9.400540573
0.857928276,0.856160173,0.007144029,-0.026563235,-0.026326055,0.002554024,57.1709671,56.50997568,2.704051129,0.812734067,0.811887922,0.006558747,0.44682309,0.441712926,0.021468746,-15164,-14943.38038,1303.487562,0.2779136,0.277496857,0.014262376,0.076467805,0.077509086,0.004152631,1.986201525,1.979609859,0.034732387,0.926028669,0.92481307,0.005518579,18.59799917
