median_ndvi,weighted_mean_ndvi,sd_ndvi,median_psri,weighted_mean_psri,sd_psri,median_rdvi,weighted_mean_rdvi,sd_rdvi,median_gndvi,weighted_mean_gndvi,sd_gndvi,median_wdrvi,weighted_mean_wdrvi,sd_wdrvi,median_msavi2,weighted_mean_msavi2,sd_msavi2,median_vdvi,weighted_mean_vdvi,sd_vdvi,median_rvi,weighted_mean_rvi,sd_rvi,median_evi,weighted_mean_evi,sd_evi,median_stvi,weighted_mean_stvi,sd_stvi,BA
0.834164858,0.833892512,0.00585353,-0.032930281,-0.032959391,0.003556592,54.30754852,54.22051877,1.080030608,0.780158341,0.780089956,0.004487349,0.377341658,0.376705879,0.016338316,-14164,-14106.26724,513.4341393,0.271468133,0.271907,0.014440705,0.090414509,0.090586672,0.003493594,1.957566857,1.95676254,0.036085859,0.919854283,0.919701229,0.005745578,35.79527598
0.790602684,0.790316938,0.00798992,-0.026161082,-0.025917939,0.004732527,49.51162338,49.48380696,1.852217839,0.74916476,0.749710965,0.006244594,0.262059033,0.261573536,0.019831289,-12440,-12404.61662,835.2704716,0.242369846,0.241108848,0.016599593,0.116942383,0.117142956,0.004986557,1.739245057,1.739614094,0.038408345,0.881706357,0.881613539,0.007144457,29.10337505
0.833720386,0.83388448,0.008048727,-0.024208086,-0.024296727,0.00333883,55.3625145,55.19252866,1.738927349,0.794439375,0.793901174,0.005387647,0.376089215,0.376823446,0.022674507,-14712,-14620.43435,802.3891038,0.253810465,0.254858741,0.015325082,0.090678826,0.090602104,0.004787497,1.896986246,1.896266067,0.040120105,0.910880268,0.910570719,0.006745958,31.43728238
0.785660386,0.78539359,0.0118079,-0.020685198,-0.020966203,0.005087049,48.5622139,48.38514559,2.206535796,0.752443016,0.752573498,0.010190929,0.249867931,0.249694696,0.028871185,-12016,-11936.55717,928.4751384,0.220338985,0.221476413,0.018830134,0.120033816,0.120250528,0.007415568,1.726287246,1.728843606,0.047133027,0.878999412,0.879306176,0.009042558,26.09938834
0.814499974,0.813885877,0.007186901,-0.020234603,-0.020671287,0.005168386,51.07129669,51.05188306,1.122606015,0.782512844,0.780515128,0.008046184,0.323486507,0.322042682,0.018974878,-12800,-12812.23107,477.5507429,0.234352261,0.234958562,0.020038169,0.102232017,0.102621616,0.00437918,1.809455276,1.809300377,0.033049497,0.895296752,0.895222492,0.005896158,36.28494974
0.804495573,0.804399179,0.007270025,-0.025621703,-0.025732405,0.004848049,50.58389282,50.72124211,1.429517576,0.762891352,0.763471368,0.008357733,0.297256678,0.297197094,0.018728583,-12708,-12798.60421,629.0535225,0.24257426,0.241824381,0.016311874,0.10834299,0.108419603,0.004471803,1.803028584,1.804438198,0.035765723,0.89346385,0.893643709,0.006369211,39.8741635
0.824473441,0.823791636,0.006596467,-0.021611527,-0.021494637,0.003087196,51.90434265,51.96531179,0.835932228,0.788343549,0.788719882,0.004650748,0.350408316,0.348718886,0.017914417,-13092,-13113.86821,357.0852576,0.239067063,0.238002308,0.013457373,0.09620671,0.096631021,0.003976899,1.864712477,1.86105211,0.036708035,0.905155778,0.904301753,0.006287493,39.43692641
0.779856086,0.780991044,0.017570119,-0.029522613,-0.029460154,0.005293934,49.11724091,48.7965123,2.408883709,0.732595265,0.735499157,0.018729266,0.235764235,0.239563322,0.042418093,-12288,-12226.40383,1187.294148,0.243277043,0.242217048,0.016323574,0.123686336,0.123082092,0.01109845,1.734614968,1.734694352,0.056342002,0.879979849,0.879869838,0.011024095,43.161769
0.84772265,0.846887803,0.005470906,-0.021644024,-0.02170207,0.003474468,55.91107559,55.66257424,1.617108861,0.811764717,0.810616663,0.007441742,0.416362703,0.414042792,0.015894116,-14748,-14643.30384,784.1795647,0.258620679,0.258643891,0.015159434,0.082413539,0.082912095,0.003218217,1.920328498,1.918030541,0.030483222,0.915434361,0.914954578,0.004983547,8.603537716
0.858867228,0.857387686,0.007162628,-0.02651423,-0.026434391,0.002849693,57.89896011,57.24615763,2.66760388,0.813890159,0.812879679,0.006589163,0.449674159,0.445426169,0.021560926,-15620,-15312.78143,1299.801844,0.27966103,0.279662959,0.014439968,0.075924076,0.076797207,0.004161133,1.98808825,1.981689131,0.036568838,0.926297307,0.925202878,0.00582049,18.24490126
