median_ndvi,weighted_mean_ndvi,sd_ndvi,median_psri,weighted_mean_psri,sd_psri,median_rdvi,weighted_mean_rdvi,sd_rdvi,median_gndvi,weighted_mean_gndvi,sd_gndvi,median_wdrvi,weighted_mean_wdrvi,sd_wdrvi,median_msavi2,weighted_mean_msavi2,sd_msavi2,median_vdvi,weighted_mean_vdvi,sd_vdvi,median_rvi,weighted_mean_rvi,sd_rvi,median_evi,weighted_mean_evi,sd_evi,median_stvi,weighted_mean_stvi,sd_stvi,BA
0.832400858,0.831452216,0.007373472,-0.031587094,-0.031637827,0.004075055,54.11390686,54.01753083,1.189770756,0.780132145,0.779876221,0.005677161,0.372381121,0.369945978,0.020361632,-14096,-14043.79744,594.4398686,0.267351538,0.266641395,0.01664638,0.091464225,0.092047147,0.004418465,1.945996106,1.943434065,0.04135403,0.91803658,0.91750576,0.006704554,37.13969629
0.791189641,0.790434268,0.009467689,-0.026292512,-0.025962341,0.005431493,49.75571251,49.66042394,1.86147262,0.749381483,0.749745091,0.006794743,0.263518229,0.261954856,0.023479396,-12550,-12490.66703,821.9511619,0.242671683,0.241388287,0.019349066,0.116576359,0.117078801,0.005911605,1.741368234,1.740111048,0.042607032,0.882166862,0.881687132,0.007997736,29.47965853
0.832487285,0.8330088,0.007872038,-0.024551928,-0.024620105,0.003312872,54.80524063,54.87998999,1.754649724,0.792622566,0.792545508,0.005568819,0.372623563,0.3743513,0.022167384,-14464,-14471.44358,819.9374125,0.254959583,0.255603724,0.015184142,0.091412745,0.091122495,0.004683077,1.892142892,1.893264134,0.040115533,0.909829617,0.91003794,0.006733695,28.81758515
0.7861287,0.784925792,0.012550583,-0.020942979,-0.02115486,0.005092353,48.37554359,48.34301014,2.598973443,0.752456069,0.751829031,0.010463334,0.251015887,0.248600126,0.030605602,-11902,-11928.42221,1122.039005,0.221278258,0.221991494,0.018906971,0.119740143,0.120549502,0.007890465,1.727720618,1.727424444,0.048334321,0.87919867,0.879015063,0.009327258,27.07809944
0.812068462,0.811439998,0.008494526,-0.018104649,-0.018761607,0.004972001,50.76140785,50.70102618,1.366696434,0.782515407,0.781172229,0.008149747,0.317041263,0.315651677,0.022260111,-12704,-12676.25101,574.0365573,0.225392617,0.227445773,0.019693303,0.103711061,0.104117818,0.005191106,1.798294902,1.798545522,0.037335398,0.893452048,0.893245353,0.00675981,37.47394447
0.804221034,0.803654999,0.007901366,-0.025205141,-0.025354946,0.004634822,50.71743774,50.58082639,1.789252155,0.763161153,0.763342012,0.008391731,0.296547592,0.295317414,0.02027497,-12774,-12743.30166,787.3574007,0.240381368,0.240398653,0.015521933,0.108511623,0.108880847,0.004867731,1.802000642,1.801304301,0.037997627,0.893357962,0.89305835,0.006812623,37.14803094
0.823305279,0.822322674,0.008066946,-0.021546989,-0.02130964,0.003440905,51.90304184,51.80425042,1.176900622,0.787795871,0.78759531,0.005540257,0.347213998,0.344797777,0.021466064,-13092,-13057.98554,507.1183249,0.238235295,0.237073222,0.014588638,0.096909028,0.097522769,0.004903465,1.858374059,1.854562514,0.041848497,0.903946996,0.903133897,0.007369087,38.94834731
0.785731912,0.786122121,0.018588511,-0.029421069,-0.029322466,0.004968882,49.1254158,48.97012771,2.233967724,0.739805818,0.740563257,0.018934729,0.250043213,0.252201916,0.04538263,-12244,-12227.43189,1076.591993,0.246164113,0.244982769,0.016953879,0.119988941,0.119867878,0.011688692,1.74805057,1.748465886,0.060913555,0.882796645,0.882625027,0.011832471,41.36918243
0.845544577,0.843708714,0.007686297,-0.022481266,-0.022724719,0.004390208,55.22393417,54.94412833,1.936972562,0.808699846,0.805923491,0.011755755,0.409984857,0.404898052,0.02205553,-14448,-14325.92989,922.7683741,0.260954887,0.260604401,0.016657422,0.083690986,0.084788816,0.004541769,1.909753442,1.907496495,0.034000664,0.913723648,0.91309055,0.005692753,9.706003125
0.858872652,0.858194588,0.006398127,-0.02673427,-0.026734221,0.002950986,58.48707581,57.81373996,2.256027047,0.813890159,0.813159739,0.006360304,0.44969064,0.447821641,0.019330002,-15928,-15596.04071,1103.729225,0.280914932,0.28116579,0.01435268,0.075920932,0.076326201,0.003712347,1.988863468,1.985866932,0.03370623,0.926419854,0.925881514,0.005322591,18.65509683
0.839381993,0.838480012,0.006751275,-0.030509673,-0.030207859,0.00453641,56.63006592,56.52324766,1.38273778,0.788941503,0.788813366,0.007324838,0.392167643,0.389785257,0.019122988,-15300,-15246.78069,652.5286482,0.282230094,0.28061018,0.019084982,0.087321717,0.087870085,0.004007898,1.914574564,1.914222898,0.035138077,0.913923353,0.9136966,0.005807551,28.92702882
0.831998169,0.831165829,0.009312427,-0.017764619,-0.017573081,0.00320956,55.24861908,55.06399246,1.201727862,0.80256182,0.8021517,0.00709303,0.371252358,0.369288309,0.02601022,-14668,-14594.77746,509.5308093,0.22602281,0.22396823,0.015875121,0.091704145,0.092228841,0.005556662,1.890552402,1.891538058,0.039818666,0.90951395,0.909625347,0.006781559,22.76151029
0.859244823,0.858977774,0.005584358,-0.025783634,-0.025618129,0.003450426,56.37689209,56.32564485,0.900243111,0.816484869,0.81574455,0.005890068,0.450823024,0.450157887,0.016946854,-14772,-14776.64303,432.7844105,0.283911675,0.283319184,0.017287207,0.075705577,0.075869802,0.003235077,1.969215751,1.967811356,0.032147771,0.923619598,0.923315801,0.00506789,31.90855497
0.835248113,0.835349019,0.006015496,-0.027444763,-0.027953096,0.004478934,52.72943115,52.66841826,1.371155605,0.789962322,0.789453363,0.006769334,0.380400747,0.380841649,0.017011194,-13310,-13289.48222,639.6233345,0.280227095,0.281761253,0.018756877,0.089770924,0.089722804,0.003572934,1.861893237,1.861885395,0.033745089,0.905275971,0.905361207,0.005709604,30.963838
0.865039468,0.863998225,0.006358873,-0.026099291,-0.026243585,0.004106403,54.52657318,54.3520421,1.36462412,0.8198511,0.81949011,0.00534554,0.46862635,0.465600171,0.019512348,-13748,-13684.32228,656.1958325,0.286231875,0.286440753,0.020247473,0.072363354,0.072975036,0.003669909,1.999553442,1.998863258,0.040475125,0.928486288,0.928190959,0.006267537,34.63481179
0.817787379,0.817087866,0.008043949,-0.018245008,-0.018332282,0.004370536,52.02333069,52.01719227,1.167685017,0.787646413,0.787297874,0.004953795,0.332273334,0.33065025,0.021462343,-13284,-13250.58785,528.6223762,0.239681393,0.240367468,0.017966871,0.100238688,0.100683936,0.004882012,1.778818011,1.777083324,0.040444178,0.890547276,0.890115949,0.00736226,30.32057491
0.848476827,0.848058004,0.007185761,-0.022965116,-0.02277932,0.004906879,51.90095901,51.78962266,1.575350922,0.809949994,0.80995727,0.006534767,0.418581009,0.417579712,0.0210699,-12708,-12661.43729,741.1273306,0.267723113,0.267879063,0.023069255,0.081971914,0.082233422,0.004213209,1.911518216,1.911654671,0.040320272,0.914110422,0.914048052,0.006588049,28.73960454
0.807647169,0.806068025,0.011399288,-0.018824136,-0.018662218,0.004636726,52.71759796,52.28444116,2.463791139,0.775857925,0.776116353,0.009518183,0.305437922,0.301821472,0.029379371,-13772,-13583.56305,1109.031815,0.215980023,0.215425203,0.018342601,0.106410593,0.107423172,0.007012845,1.822000265,1.816798428,0.048506449,0.896794379,0.895723212,0.008776289,11.13540893
0.830721885,0.830163529,0.006508914,-0.018782293,-0.018996555,0.004138744,49.7189827,49.53432447,1.658039962,0.799579322,0.798896615,0.006890412,0.367683902,0.366301513,0.018050278,-11900,-11833.64759,752.2697397,0.241379306,0.241959996,0.017152749,0.092465237,0.092812287,0.003893811,1.845608175,1.844876448,0.036475415,0.902558118,0.902253446,0.006251571,29.53295643
